docket,violation_address,city,state,cleaned_address,corrected
20DS75561L,1436 W FARGO AVE,Chicago,Illinois,1436 W FARGO AVE,
21DT002773,5944 W ARCHER,Chicago,Illinois,5944 W ARCHER,
22DT001343,5450 S NEWLAND,Chicago,Illinois,5450 S NEWLAND,
22DT001527,6944 W ARCHER,Chicago,Illinois,6944 W ARCHER,
21DT002757,6944 S ARCHER,Chicago,Illinois,6944 S ARCHER,
21DT002771,5414 S NEWLAND,Chicago,Illinois,5414 S NEWLAND,
21DT002772,6940 W ARCHER,Chicago,Illinois,6940 W ARCHER,
21DT002758,6944 S ARCHER,Chicago,Illinois,6944 S ARCHER,
20DS76124L,579 W HAWTHORNE PL,Chicago,Illinois,579 W HAWTHORNE PL,
21DT000381,77 E ELM ST,Chicago,Illinois,77 E ELM ST,
22DT001085,2023 W 35TH ST,Chicago,Illinois,2023 W 35TH ST,
22DT000958,3015 N LINCOLN,Chicago,Illinois,3015 N LINCOLN,
23DT000429,4747 N TROY ST,Chicago,Illinois,4747 N TROY ST,
21DT000905,2706 W CHICAGO,Chicago,Illinois,2706 W CHICAGO,
21DT002795,4500 W 63RD ST,Chicago,Illinois,4500 W 63RD ST,
21DT002796,6248 S KILBOURN,Chicago,Illinois,6248 S KILBOURN,
21DS19297M,7601 S STATE ST,Chicago,Illinois,7601 S STATE ST,
22DS02618M,601 E 79TH ST,Chicago,Illinois,601 E 79TH ST,
22DS02286M,139 W 71ST ST,Chicago,Illinois,139 W 71ST ST,
22DT000667,2502 N LECLAIRE,Chicago,Illinois,2502 N LECLAIRE,
20DS78649L,3041 W POPE JOHN PAUL II DR,Chicago,Illinois,3041 W POPE JOHN PAUL II DR,
20DS75863L,26251 W 47TH ST,Chicago,Illinois,26251 W 47TH ST,
22DT001355,7024 S CLYDE,Chicago,Illinois,7024 S CLYDE,
21DT000572,455 W 24TH ST,Chicago,Illinois,455 W 24TH ST,
21DT001039,1000 W LAKE ST,Chicago,Illinois,1000 W LAKE ST,
22DT001157,2352 N NORDICA,Chicago,Illinois,2352 N NORDICA,
22DT000679,623 W MONROE ST,Chicago,Illinois,623 W MONROE ST,
21DT001644,2400 N KEDZIE,Chicago,Illinois,2400 N KEDZIE,
21DT000584,521 E OAKWOOD,Chicago,Illinois,521 E OAKWOOD,
20DS75693L,1335 W MORSE AVE,Chicago,Illinois,1335 W MORSE AVE,
22DT000984,21 E CEDAR ST,Chicago,Illinois,21 E CEDAR ST,
21DT000587,523 N OGDEN,Chicago,Illinois,523 N OGDEN,
22DT001098,117 S CLINTON ST,Chicago,Illinois,117 S CLINTON ST,
20DS75771L,2021 W 47TH ST,Chicago,Illinois,2021 W 47TH ST,
21DT000527,517 E 44TH PL,Chicago,Illinois,517 E 44TH PL,
21DT000933,2201 W LAWERENCE,Chicago,Illinois,2201 W LAWRENCE,True
22DT001000,154 W SUPERIOR,Chicago,Illinois,154 W SUPERIOR,
21DT00025A,659 S HALSTED ST,Chicago,Illinois,659 S HALSTED ST,
22DS02616M,549 E 79TH ST,Chicago,Illinois,549 E 79TH ST,
