ward,n_TRANPORT,n_311_complaints,complaint_ratio
23,85,239,0.3556485355648535
3,91,386,0.2357512953367875
37,27,122,0.221311475409836
11,80,369,0.2168021680216802
13,26,139,0.1870503597122302
