docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records,dept_label
22DS04159M,STRTSAN,1801 W 63RD ST,41.779298,-87.669242,WEST ENGLEWOOD,15,2022-02-05,2,DSS
22DS04160M,STRTSAN,6825 S WINCHESTER AVE,41.7695213,-87.67218914310381,WEST ENGLEWOOD,17,2022-02-05,2,DSS
22DS04161M,STRTSAN,6301 S DAMEN AVE,41.778686,-87.673782,WEST ENGLEWOOD,15,2022-02-05,4,DSS
22DS04162M,STRTSAN,5727 S PEORIA ST,41.7897381,-87.64717330532994,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04163M,STRTSAN,1740 W 63RD ST,41.77956785,-87.66832427519296,WEST ENGLEWOOD,15,2022-02-05,1,DSS
22DS04164M,STRTSAN,5730 S GREEN ST,41.789683249999996,-87.64652324263244,ENGLEWOOD,16,2022-02-09,2,DSS
22DS04165M,STRTSAN,2000 W 69TH ST,41.768521,-87.673792,WEST ENGLEWOOD,16,2022-02-05,4,DSS
22DS04166M,STRTSAN,1641 W 63RD ST,41.7792092,-87.66590958890664,WEST ENGLEWOOD,15,2022-02-05,1,DSS
22DS04167M,STRTSAN,1643 W 63RD ST,41.7792132,-87.66600047259035,WEST ENGLEWOOD,15,2022-02-05,1,DSS
22DS04172M,STRTSAN,6249 S WOLCOTT AVE,41.78051706975783,-87.671402382554,WEST ENGLEWOOD,15,2022-02-05,2,DSS
22DS04174M,STRTSAN,1950 W 63RD ST,41.779584150000005,-87.67350947008423,WEST ENGLEWOOD,15,2022-02-05,1,DSS
22DS04176M,STRTSAN,6301 S WESTERN AVE,41.778536,-87.683512,CHICAGO LAWN,16,2022-02-07,4,DSS
22DS04178M,STRTSAN,1614 W 47TH ST,41.80882115,-87.66587232671927,NEW CITY,15,2022-02-07,4,DSS
22DS04179M,STRTSAN,6128 S WESTERN AVE,41.78232628868012,-87.6838353204496,CHICAGO LAWN,16,2022-02-07,1,DSS
22DS04186M,STRTSAN,1923 W 59TH ST,41.78656266288996,-87.67253249340321,WEST ENGLEWOOD,15,2022-02-07,6,DSS
22DS04188M,STRTSAN,1850 W 59TH ST,41.78674638870939,-87.67107548980802,WEST ENGLEWOOD,15,2022-02-07,1,DSS
22DS04189M,STRTSAN,1854 W 59TH ST,41.78674594354696,-87.67111144904011,WEST ENGLEWOOD,15,2022-02-07,2,DSS
22DS04190M,STRTSAN,1637 W 59TH ST,41.7866442567841,-87.66609473283414,WEST ENGLEWOOD,15,2022-02-08,4,DSS
22DS04191M,STRTSAN,6220 S DAMEN AVE,41.78055885,-87.67429811522352,WEST ENGLEWOOD,16,2022-02-08,6,DSS
22DS04192M,STRTSAN,6238 S DAMEN AVE,41.78060061208737,-87.6740445973918,WEST ENGLEWOOD,16,2022-02-08,5,DSS
22DS04194M,STRTSAN,1715 W 59TH ST,41.7865314,-87.6674759,WEST ENGLEWOOD,15,2022-02-08,2,DSS
22DS04197M,STRTSAN,1901 W 59TH ST,41.786426399999996,-87.67193593863637,WEST ENGLEWOOD,15,2022-02-08,2,DSS
22DS04202M,STRTSAN,2435 W 64TH ST,41.77729225,-87.68514370037326,CHICAGO LAWN,16,2022-02-04,2,DSS
22DS04210M,STRTSAN,5621 S CARPENTER ST,41.7917425,-87.65088083589805,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04211M,STRTSAN,5742 S CARPENTER ST,41.789780438122094,-87.65122829498561,ENGLEWOOD,16,2022-02-09,3,DSS
22DS04216M,STRTSAN,5738 S CARPENTER ST,41.78941865,-87.6513838422396,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04220M,STRTSAN,6105 S GREEN ST,41.78308665,-87.64580909428125,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04221M,STRTSAN,6408 S SANGAMON ST,41.77754855,-87.64867168625437,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04225M,STRTSAN,1236 W 64TH ST,41.7779659,-87.65588519973457,WEST ENGLEWOOD,16,2022-02-05,1,DSS
22DS04227M,STRTSAN,6422 S MAY ST,41.7770667,-87.6534841640051,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04229M,STRTSAN,5722 S PEORIA ST,41.789902749999996,-87.6477708494186,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04234M,STRTSAN,5848 S PEORIA ST,41.7872567,-87.64758860183912,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04235M,STRTSAN,6410 S MAY ST,41.77740025,-87.65350217284157,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04238M,STRTSAN,5726 S SANGAMON ST,41.78984595,-87.64900432785714,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04239M,STRTSAN,5734 S SANGAMON ST,41.78954125,-87.64892610157358,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04241M,STRTSAN,5759 S SANGAMON ST,41.78956146195785,-87.64857094187819,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04242M,STRTSAN,5756 S SANGAMON ST,41.7889184,-87.64902357699458,ENGLEWOOD,16,2022-02-05,1,DSS
22DS04244M,STRTSAN,1953 W 63RD ST,41.779114449999994,-87.67352997909461,WEST ENGLEWOOD,15,2022-02-05,1,DSS
22DS04246M,STRTSAN,1651 W 63RD ST,41.7791895,-87.66625649460303,WEST ENGLEWOOD,15,2022-02-05,1,DSS
22DS04247M,STRTSAN,1510 W GARFIELD BLVD,41.79360439655951,-87.66255040701392,WEST ENGLEWOOD,16,2022-02-05,3,DSS
22DS04249M,STRTSAN,5435 S JUSTINE ST,41.7948612,-87.66291525138888,NEW CITY,16,2022-02-05,1,DSS
22DS04250M,STRTSAN,6248 S MARSHFIELD AVE,41.77972389999999,-87.66566999616515,WEST ENGLEWOOD,15,2022-02-05,2,DSS
22DS04252M,STRTSAN,2033 W 69TH ST,41.76821525,-87.67497882191685,WEST ENGLEWOOD,17,2022-02-05,1,DSS
22DS04253M,STRTSAN,1743 W 59TH ST,41.786507799999995,-87.66850054747664,WEST ENGLEWOOD,15,2022-02-08,2,DSS
22DS04254M,STRTSAN,1824 W 63RD ST,41.77945259836883,-87.66999599752303,WEST ENGLEWOOD,15,2022-02-05,2,DSS
22DS04258M,STRTSAN,4710 S WESTERN AVE,41.807859,-87.68479703503766,BRIGHTON PARK,15,2022-02-07,1,DSS
22DS04272M,STRTSAN,1745 W 59TH ST,41.78661641532984,-87.6683785882304,WEST ENGLEWOOD,15,2022-02-08,2,DSS
22DS04274M,STRTSAN,6114 S GREEN ST,41.78288405,-87.6463577,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04276M,STRTSAN,6120 S GREEN ST,41.78272355,-87.64637272179377,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04277M,STRTSAN,1721 W 59TH ST,41.78651665,-87.66774004626198,WEST ENGLEWOOD,15,2022-02-08,4,DSS
22DS04278M,STRTSAN,1721 W 59TH ST,41.78651665,-87.66774004626198,WEST ENGLEWOOD,15,2022-02-08,1,DSS
22DS04279M,STRTSAN,6124 S GREEN ST,41.78258085,-87.6463659990678,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04280M,STRTSAN,6130 S GREEN ST,41.782995067226985,-87.64620605008797,ENGLEWOOD,16,2022-02-09,1,DSS
22DS04281M,STRTSAN,5757 S PEORIA ST,41.7889696,-87.64709435555739,ENGLEWOOD,16,2022-02-09,3,DSS
22DS04282M,STRTSAN,6200 S DAMEN AVE,41.781038,-87.674057,WEST ENGLEWOOD,16,2022-02-08,2,DSS
22DS04283M,STRTSAN,5749 S PEORIA ST,41.78973906035202,-87.64736141772109,ENGLEWOOD,16,2022-02-09,2,DSS
22DS04284M,STRTSAN,932 W 59TH ST,41.787053327869295,-87.648810877032,ENGLEWOOD,16,2022-02-08,5,DSS
22DS04289M,STRTSAN,6337 S ADA ST,41.7784645,-87.65778365966719,WEST ENGLEWOOD,16,2022-02-09,1,DSS
