community_name,2020_pop,vac_hu,hu_tot,vacant,vacperc,community_caps,n_BAFCONP,n_POLICE,n_STRTSAN,n_TRANPORT,n_dockets,n_311_complaints,dp10k,streets_p10k,cdot_p10k,police_p10k,n_p10k,311_p10k,complaint_ratio
Greater Grand Crossing,31471,3275.0,15535.0,142.5961142,0.062835485,GREATER GRAND CROSSING,0,1,34,1,36.0,133,2.8597756664866067,2.700899240570684,0.0794382129579613,0.0794382129579613,0.0,10.565282323408853,0.007518796992481203
Hegewisch,10027,498.1771218,4013.723567,419.5515151,0.125205153,HEGEWISCH,0,0,0,2,2.0,15,0.4986536351850005,0.0,0.4986536351850005,0.0,0.0,3.7399022638875037,0.13333333333333333
Hermosa,24062,675.0,7853.0,3.292757041,0.004399492,HERMOSA,0,0,0,17,17.0,150,1.7662704679577756,0.0,1.7662704679577756,0.0,0.0,15.584739423156845,0.11333333333333333
Humboldt Park,54165,2164.0,19931.0,147.0594804,0.063752539,HUMBOLDT PARK,0,0,0,30,30.0,317,1.3846579894765993,0.0,1.3846579894765993,0.0,0.0,14.631219422136066,0.0946372239747634
Hyde Park,29456,1356.0,15032.0,7.186434713,0.006961833,HYDE PARK,0,0,0,5,5.0,192,0.4243617599130907,0.0,0.4243617599130907,0.0,0.0,16.295491580662684,0.026041666666666668
Irving Park,51940,1966.0,22882.0,9.788169414,0.004758019,IRVING PARK,0,0,5,16,21.0,752,1.0107816711590296,0.24066230265691183,0.7701193685021178,0.0,0.0,36.19561031959954,0.02127659574468085
Jefferson Park,26216,925.0,11446.0,2.846771189,0.001911652,JEFFERSON PARK,0,0,5,3,8.0,161,0.7628928898382668,0.4768080561489167,0.28608483368935,0.0,0.0,15.353219407995118,0.018633540372670808
Kenwood,19116,1145.0,10979.0,19.37407847,0.02906751,KENWOOD,0,0,15,18,33.0,122,4.315756434400503,1.9617074701820465,2.354048964218456,0.0,0.0,15.955220757480644,0.14754098360655737
Lake View,103050,4581.0,58071.0,14.51172633,0.007277042,LAKE VIEW,0,0,7,42,49.0,1665,1.1887433284813198,0.1698204754973314,1.0189228529839884,0.0,0.0,40.39301310043668,0.025225225225225224
Lincoln Park,70492,3053.0,35073.0,29.82211401,0.014730867,LINCOLN PARK,0,0,2,125,127.0,1202,4.504057197979913,0.07093003461385688,4.433127163366056,0.0,0.0,42.62895080292799,0.10399334442595674
