docket,dept,violation_address,lat,long,community,ward_1523,violation_date,n_records
21DS19965M,STRTSAN,6107 W DIVERSEY AVE,41.9309213,-87.77862038346315,BELMONT CRAGIN,30.0,2021-01-21,2
21DS20180M,STRTSAN,5153 W DIVERSEY AVE,41.93133302113928,-87.75525367265614,BELMONT CRAGIN,31.0,2021-01-27,1
21DS20206M,STRTSAN,7356 N ASHLAND BLVD,42.01553635,-87.6705469,ROGERS PARK,49.0,2021-01-29,1
21DS20227M,STRTSAN,5010 N AUSTIN AVE,41.97247625,-87.77858497465039,JEFFERSON PARK,45.0,2021-02-01,1
21DS20234M,STRTSAN,5233 N KEDZIE AVE,41.97690795,-87.70824640757533,NORTH PARK,40.0,2021-02-02,1
21DS20236M,STRTSAN,2257 W FOSTER AVE,41.97585933039413,-87.68565985583832,LINCOLN SQUARE,40.0,2021-02-02,2
21DS20241M,STRTSAN,4257 S ARTESIAN AVE,41.81647490652492,-87.68581270373275,BRIGHTON PARK,15.0,2021-02-02,1
21DS20252M,STRTSAN,3235 N CALIFORNIA AVE,41.9399798881173,-87.69773280078478,AVONDALE,33.0,2021-02-03,1
21DS20255M,STRTSAN,2816 W IRVING PARK RD,41.9543217,-87.69906475998185,IRVING PARK,33.0,2021-02-03,2
21DS20257M,STRTSAN,2321 S KIRKLAND AVE,41.84895805,-87.73306041138962,NORTH LAWNDALE,22.0,2021-02-03,1
21DS20258M,STRTSAN,5035 N LINCOLN AVE,41.972075,-87.6906605,LINCOLN SQUARE,40.0,2021-02-03,1
21DS20260M,STRTSAN,2449 W LAWRENCE AVE,41.9683499,-87.69055925105238,LINCOLN SQUARE,40.0,2021-02-03,2
21DS20262M,STRTSAN,5052 N ASHLAND AVE,41.97397665,-87.66989840932611,UPTOWN,40.0,2021-02-03,2
21DS20267M,STRTSAN,5050 N LINCOLN AVE,41.97312879175904,-87.69159419884438,LINCOLN SQUARE,40.0,2021-02-03,1
21DS20279M,STRTSAN,5322 W FULLERTON AVE,41.92398149374024,-87.75955738810559,BELMONT CRAGIN,36.0,2021-02-03,2
